"id","tree","Sp","x","y","h.dist","dbh","h","dead","v.user","w.user"
6,12,21,6.21569999994244,9.93699999991804,11.72087435,27,15,NA,NA,0.168399
6,13,21,7.74569999997038,9.00299999956042,11.87644212,24.8,16,NA,NA,0.151545856
6,14,21,12.265699999989,1.78699999954551,12.39519122,30.4,17,NA,NA,0.241945088
6,15,21,1.93869999994058,-12.793000000529,12.93906514,33.5,15.3,NA,NA,0.264424545
6,16,21,-12.344299999997,-4.3410000000149,13.0853362,29.7,14.8,NA,NA,0.2010459528
6,17,21,12.0646999999881,-5.43500000052154,13.23239249,34,16.7,NA,NA,0.29730008
6,18,21,-1.438300000038,13.7989999996498,13.87375608,30.3,14.9,NA,NA,0.2106649314
6,19,21,-6.37230000004638,12.421999999322,13.96109921,34,14.4,NA,NA,0.25635456
6,20,21,10.8376999999164,9.04600000008941,14.11686429,35.8,16.9,NA,NA,0.3335596264
6,21,21,-11.7353000000585,-8.56600000057369,14.52906129,37.8,15.1,NA,NA,0.3322624536
6,22,21,-10.8483000000706,9.73599999956787,14.57653281,25.8,10.5,NA,NA,0.107633988
6,23,21,14.6827000000048,0.803999999538064,14.70469637,20.4,NA,1,NA,NA
6,24,21,13.7756999999983,5.3309999993071,14.77123798,22.8,14.7,NA,NA,0.1176813792
6,25,21,-4.30030000000261,14.8519999999553,15.46203363,28,14.3,NA,NA,0.17265248
6,26,21,-12.5583000000333,9.33399999979883,15.6471868,31.2,14.1,NA,NA,0.2113727616
6,27,21,13.9266999999527,9.09200000017881,16.63182001,28.5,15.2,NA,NA,0.19013148
6,28,21,-13.032300000079,-10.938000000082,17.01413199,34.8,15.6,NA,NA,0.2909402496
6,29,21,13.6777000000002,-10.7630000002682,17.40464439,31.5,14.1,NA,NA,0.215457165
6,30,21,-0.315300000016578,17.5169999999925,17.51983742,26.4,13.4,NA,NA,0.1438246656
6,31,21,-9.56930000009015,-14.7319999998435,17.56710922,33.8,12.7,NA,NA,0.2234384152
6,32,21,11.0936999999685,13.7989999996498,17.7054393,31.6,14.8,NA,NA,0.2275917952
6,33,21,-7.17330000002403,16.3590000001714,17.86261778,26,13.2,NA,NA,0.13741728
6,34,21,16.5886999999639,-6.77700000070035,17.91961765,32.9,15.1,NA,NA,0.2517036214
6,35,21,-4.54529999999795,17.464999999851,18.04677193,26.5,14.3,NA,NA,0.154649495
6,36,21,-15.1033000000753,10.2379999998957,18.24626852,34.2,15.3,NA,NA,0.2755905768
6,37,21,10.3946999999462,-15.8960000006482,18.99296196,42.5,16.8,NA,NA,0.467313
6,38,21,-2.0622999999905,19.0719999996945,19.18317662,31.8,15.2,NA,NA,0.2367110592
6,39,21,12.7737000000197,15.0609999997541,19.74844634,34.4,15.3,NA,NA,0.2788232832
6,40,21,1.63370000000577,-19.7280000001192,19.79552878,37.5,15.9,NA,NA,0.344334375
7,1,21,-5.39950000005774,0.58600000012666,5.431205782,28.7,13.6,NA,NA,0.1725136336
7,2,21,3.87249999993946,3.91999999992549,5.51023196,34.2,15.3,NA,NA,0.2755905768
7,3,21,6.41749999998137,3.01599999982864,7.090878807,31.2,14.1,NA,NA,0.2113727616
7,4,21,-7.62549999996554,-2.57400000002235,8.048212612,31.5,15.7,NA,NA,0.239906205
